Credito_Cuenta,Debito_Cuenta,FechaDeEntrada,Modulo,Cantidad,CodigoDeTransacción,NumeroDeTransacción,CR_Socio,DR_Socio,DR_Account,CR_Account
20001.01.00001712.0000,50003.01,1/31/2026,FIN DE MES,0.07,Pago De Interes 1/31/2026,Pago De Interes,1712,0,50003,20001
20001.01.00001714.0000,50003.01,1/31/2026,FIN DE MES,0.01,Pago De Interes 1/31/2026,Pago De Interes,1714,0,50003,20001
20001.01.00001739.0000,50003.01,1/31/2026,FIN DE MES,0.08,Pago De Interes 1/31/2026,Pago De Interes,1739,0,50003,20001
20001.01.00001755.0000,50003.01,1/31/2026,FIN DE MES,9.68,Pago De Interes 1/31/2026,Pago De Interes,1755,0,50003,20001
20001.01.00001758.0000,50003.01,1/31/2026,FIN DE MES,0.73,Pago De Interes 1/31/2026,Pago De Interes,1758,0,50003,20001
20001.01.00001775.0000,50003.01,1/31/2026,FIN DE MES,0.13,Pago De Interes 1/31/2026,Pago De Interes,1775,0,50003,20001
20001.01.00001780.0000,50003.01,1/31/2026,FIN DE MES,1.68,Pago De Interes 1/31/2026,Pago De Interes,1780,0,50003,20001
20001.01.00001784.0000,50003.01,1/31/2026,FIN DE MES,22.42,Pago De Interes 1/31/2026,Pago De Interes,1784,0,50003,20001
20001.01.00001795.0001,50003.01,1/31/2026,FIN DE MES,4.62,Pago De Interes 1/31/2026,Pago De Interes,1795,0,50003,20001
20001.01.00001801.0000,50003.01,1/31/2026,FIN DE MES,0.03,Pago De Interes 1/31/2026,Pago De Interes,1801,0,50003,20001
20001.01.00001803.0000,50003.01,1/31/2026,FIN DE MES,1.55,Pago De Interes 1/31/2026,Pago De Interes,1803,0,50003,20001
20001.01.00001810.0000,50003.01,1/31/2026,FIN DE MES,6.32,Pago De Interes 1/31/2026,Pago De Interes,1810,0,50003,20001
20001.01.00001819.0000,50003.01,1/31/2026,FIN DE MES,2.4,Pago De Interes 1/31/2026,Pago De Interes,1819,0,50003,20001
20001.01.00001823.0000,50003.01,1/31/2026,FIN DE MES,33.58,Pago De Interes 1/31/2026,Pago De Interes,1823,0,50003,20001
20001.01.00001825.0000,50003.01,1/31/2026,FIN DE MES,5.2,Pago De Interes 1/31/2026,Pago De Interes,1825,0,50003,20001
20001.01.00001827.0000,50003.01,1/31/2026,FIN DE MES,1.76,Pago De Interes 1/31/2026,Pago De Interes,1827,0,50003,20001
20001.01.00001837.0000,50003.01,1/31/2026,FIN DE MES,0.58,Pago De Interes 1/31/2026,Pago De Interes,1837,0,50003,20001
