ID,ProfessionType,Descripción,Description,BSARanking
 ,385,Operador de Farmaceútica,Pharmaceutical Operator,L
 ,386,Operador de la AAA,Water & Sweur Autorithy Operator,L
 ,387,Operador de la AEE,Electric Power Autorithy Operator,L
 ,388,Optico,Optician,M
 ,389,Optometra,Optometrist,M
 ,390,Orientador Escolar,School Advisor,L
 ,391,Paralegal,Paralegal,M
 ,392,Paramedico,Paramedic,L
 ,393,Patologo,Pathologist,L
 ,394,Patologo del Habla,Speech Pathologist,L
 ,395,Pensionado Seguro Social,Social Security Pensioned,L
 ,396,Periodist,Journalist,L
 ,397,Pescador,Fisher Man,M
 ,398,Piloto de Aviación,Airplane Pilot,M
 ,399,Pintor,Painter,L
 ,400,Plomero,Plumber,M
 ,401,Poeta,Poet,L
 ,402,Policia,Policemen,L
 ,403,Porteador Público,Public Driver,M
 ,404,Presidente Ejecutivo Cooperativa,Credit Union Executive President,M
 ,405,Procesador de Data,Data Processor,L
 ,406,Procesador de Préstamos,Loan Processor,L
 ,407,Procesamiento de Datos,Data Entry,L
 ,408,Productor de Televisión,TV Productor,M
 ,409,Profesor Universitario,College Professor,L
 ,410,Programador de Computadoras,Computer Programmer,L
 ,411,Promotor de Empleos,Job Promoter,L
 ,412,Propagandista Médico,Propagandist Medical,L
 ,413,Psicólogo,Psychologist,M
 ,414,Publicista,Publicist,M
 ,415,Químico,Chemist,L
 ,416,Radiologo,Radiologist,L
 ,417,Recepcionista,Receptionist,L
 ,418,Recogedor Desperdicios Sólidos,Picker of Solid Wastes,L
 ,419,Registraduria,Register,L
 ,420,Relacionista Público,Public Relationist,M
 ,421,Relojero,Watchmaker,M
 ,422,Removedor de Asbesto,Asbesto Remover Employee,L
 ,423,Reportero,Journalist,L
 ,424,Repostero,Confectioner,L
 ,425,Representante de Servicios,Service Representative,M
 ,426,Representante de Ventas,Sales Representative,M
 ,427,Restaurante,Restaurant,M
 ,428,Retirado Gobierno,Retired Government,L
 ,429,Retirado Empresa Privada,Retired of Private Business,L
 ,430,Retirado Gobierno Federal,Retired Federal Government,L
 ,431,Reverendo,Reverend,M
 ,432,Sacerdote,Minister,M
 ,433,Salón de Belleza,Beauty Parlor,M
 ,434,Salvavidas,Lifeguard,M
 ,435,Secretaria,Secretary,L
 ,436,Secretaria de Corte,Court Secretary,L
 ,437,Secretaria Legal,Legal Secretary,M
 ,438,Secretaria Médica,Medical Secretary,M
 ,439,Servicio Doméstico,Domestic Service,L
 ,440,Soldador,Iron Works Professional,M
 ,441,Sonografista,Sonographist,M
 ,442,SubGerente,Assistant Manager,M
 ,443,Superintendente de Escuelas,School Sipernitendent,L
 ,444,Supermercado,Supermarket,H
 ,445,Supervisor,Supervisor,L
 ,446,Supervisor AEE,Electric Power Autorithy Supervisor,L
 ,447,Supervisor Comedor Escolar,Schhol Dining Room Supervisor,L
 ,448,Supervisor de Construcción,Construction Supervisor,M
 ,449,Supervisor de Farmaceutica,Pharmaceutical Supervisor,L
 ,450,Supervisor Depto. Cooperativa,Credit Union Depratment Supervisor,M
 ,451,Supervisor Depto. Salud,Health Department Supervisor,L
 ,452,Supervisor General,General Supervisor,L
 ,453,Tapicero,Upholster,L
 ,454,Tasador,Appraiser,L
 ,455,Técnico Audiovisual,Audiovisual Technician,L
 ,456,Técnico Automotriz,Automovile Technician,H
 ,457,Técnico de Adiestramientos,Training Technician,L
 ,458,Técnico de Aviación,Aviation Technician,L
 ,459,Técnico de Computadoras,Computer Technician,L
 ,460,Técnico de Contabilidad,Accounting Technician,L
 ,461,Técnico de Educación,Technician Educational,L
 ,462,Técnico de Emergencias Médicas,Medical Emergencies Technician,L
 ,463,Técnico de Impuestos,Tax Technician,M
 ,464,Técnico de Ingenieria Industrial,Industrial Engineer Technician,L
 ,465,Técnico de Ingenieria,Engineer Technician,L
 ,466,Técnico de Laboratorio,Laboratory Technician,L
 ,467,Técnico de Rayos X,X Ray Technician,M
 ,468,Técnico de Record Médico,Medical Record Technician,M
 ,469,Técnico de Recursos Humanos,Human Resources Technician,L
 ,470,Técnido de Refrigeración,Cooling System Technician,L
 ,471,Técnico de Salud Ambiental,Enviromental Health Technician,L
 ,472,Técnico de Servicios Sociales,Social Servoces Technician,L
 ,473,Técnico de Sonido,Sound Technician,M
 ,474,Técnico de Uñas,Nails Technician,M
 ,475,Técnico de Desarrollo Industrial,Indistrial Development Technician,L
 ,476,Técnico Electrónico,Electronic Technician,M
 ,477,Tecnólogo Dental,Dental Technologist,L
 ,478,Tecnólogo Médico,Medical Technologist,L
 ,479,Telemercadeo,Telemarketing Clerk,L
 ,480,Tenedor de Libros,Bookeeper,L
 ,481,Teniente Guardia de Seguridad,Security Guard Lieutenant,L
 ,482,Terapista Educacional,Educational Therapist,L
 ,483,Terapista Físico,Physical Therapist,M
 ,484,Terapista Ocupacional,Occupational Therapist,M
 ,485,Terapista Respiratorio,Respiratory Therapist,M
 ,486,Tienda de Licores,Liquor Store,H
 ,487,Tornero,Torner,L
 ,488,Trabajador Social,Social Worker,L
 ,489,Troquelero,Tool & Dye Maker,M
 ,490,Vendedor,Vendor,L
 ,491,Vendedor Agua Embotellada,Salesperson Water Bottled,M
 ,492,Vendedor Billetes de Loteria,Lottery Ticket Vendor,M
 ,493,Vendedor de Autos,Car Salesman,H
 ,494,Vendedor de Hot Dogs,Hot Dogs Sales Man,M
 ,495,Vendedor Maquinas Entretenimiento,Salesman of Entertainment Machines,M
 ,496,Vendedor de Muebles,Furniture Salesman,M
